10
   0	  1.056
   1	  1.000
   2	  0.822
   3	  0.728
   4	  0.648
   5	  0.615
   6	  0.543
   7	  0.531
   8	  0.509
   9	  0.493
  10	  0.479
  11	  0.504
  12	  0.463
  13	  0.461
  14	  0.461
  15	  0.460
  16	  0.458
  17	  0.458
  18	  0.450
  19	  0.443
  20	  0.442
  21	  0.438
  22	  0.438
  23	  0.440
  24	  0.434
  25	  0.434
  26	  0.435
  27	  0.425
  28	  0.435
  29	  0.429
  30	  0.427
  31	  0.429
  32	  0.416
  33	  0.431
  34	  0.423
  35	  0.414
  36	  0.417
  37	  0.422
  38	  0.418
  39	  0.403
  40	  0.412
  41	  0.419
  42	  0.410
  43	  0.400
  44	  0.391
  45	  0.401
  46	  0.412
  47	  0.405
  48	  0.397
  49	  0.390
  50	  0.383
  52	  0.412
  53	  0.403
  54	  0.397
  55	  0.390
  56	  0.385
