2
   2	  0.884
   3	  0.817
   4	  0.738
   5	  0.690
   6	  0.660
   7	  0.652
   8	  0.618
   9	  0.595
  10	  0.569
  11	  0.547
  12	  0.531
  13	  0.522
  14	  0.519
  15	  0.507
  16	  0.499
  17	  0.496
  18	  0.490
  19	  0.488
  20	  0.484
  21	  0.475
  22	  0.466
  23	  0.467
  24	  0.462
  25	  0.461
  26	  0.463
  27	  0.456
  28	  0.464
  29	  0.458
  30	  0.461
  31	  0.463
  32	  0.463
  33	  0.458
  34	  0.456
  35	  0.450
  36	  0.453
  37	  0.446
  38	  0.447
  39	  0.450
  40	  0.444
  41	  0.443
  42	  0.444
  43	  0.441
  44	  0.445
  45	  0.445
  46	  0.436
  47	  0.436
  48	  0.445
  49	  0.442
  50	  0.436
  51	  0.442
  52	  0.444
  53	  0.442
  54	  0.438
  55	  0.434
  56	  0.430
  57	  0.436
  58	  0.440
  59	  0.434
  60	  0.430
  61	  0.419
  62	  0.423
  63	  0.426
  64	  0.438
  65	  0.432
  66	  0.426
  67	  0.419
  68	  0.413
  69	  0.407
  70	  0.405
  71	  0.394
  72	  0.430
  73	  0.427
  74	  0.421
  75	  0.416
  76	  0.410
  77	  0.402
  78	  0.391
  79	  0.395
  81	  0.433
  82	  0.427
  83	  0.397
  85	  0.411
  86	  0.408
  87	  0.403
  88	  0.399
  91	  0.385
 101	  0.396
 105	  0.443
 107	  0.434
 116	  0.401
 117	  0.400
 118	  0.396
 119	  0.393
